"6e1efefe-c8e0-483d-8482-150b9f1da21a", 'Elements have duplicate "Number" values'
"6e1efefe-c8e0-483d-8482-150b9f1da21a", 'Elements have duplicate "Type Mark" values'
"6e1efefe-c8e0-483d-8482-150b9f1da21a", 'Elements have duplicate "Mark" values'
"b4176cef-6086-45a8-a066-c3fd424c9412", 'There are identical instances in the same place'
"4f0bba25-e17f-480a-a763-d97d184be18a", 'Room Tag is outside of its Room'
"505d84a1-67e4-4987-8287-21ad1792ffe9", 'One element is completely inside another'
"8695a52f-2a88-4ca2-bedc-3676d5857af6", 'Highlighted floors overlap'
"ce3275c6-1c51-402e-8de3-df3a3d566f5c", 'Room is not in a properly enclosed region'
"83d4a67c-818c-4291-adaf-f2d33064fea8", 'Multiple Rooms are in the same enclosed region'
"e4d98f16-24ac-4cbe-9d83-80245cf41f0a", 'Area is not in a properly enclosed region'
"f657364a-e0b7-46aa-8c17-edd8e59683b9", 'Room separation line is slightly off axis and may cause inaccuracies'
"f657364a-e0b7-46aa-8c17-edd8e59683b9", 'Room separation line is slightly off axis and may cause inaccuracies'